year,primary_topic,count
2023,,44
2023,Artificial Intelligence (AI) & Machine Learning (ML),5
2023,Blind/Low Vision,49
2023,Captions & Transcription,4
2023,Cognitive & Learning Disabilities,4
2023,Deaf and Hard of Hearing,7
2023,Design,10
2023,Development,6
2023,Digital Accessibility,75
2023,Education,28
2023,Emerging Technologies,4
2023,Employment & Workplace,11
2023,Engineering,2
2023,Evaluation & Remediation,8
2023,Gaming & Interactive Entertainment,4
2023,Healthcare & Rehabilitation,2
2023,Independent Living,3
2023,Information & Communications Technology (ICT),5
2023,"Law, Compliance, and Policy",5
2023,Leadership & Strategy,14
2023,Mobile Technology,6
2023,Product Demonstration,6
2023,Research,3
2023,School-to-Work Transitioning,1
2023,"Virtual Reality (VR), Augmented Reality (AR), & Cross/Mixed Reality (XR)",4
2023,Web,6
2024,,27
2024,Artificial Intelligence (AI) & Machine Learning (ML),21
2024,Augmentative and Alternative Communications (AAC),4
2024,Blind/Low Vision,51
2024,Captions & Transcription,3
2024,Cognitive & Learning Disabilities,5
2024,Deaf and Hard of Hearing,3
2024,Design,14
2024,Development,10
2024,Digital Accessibility,68
2024,Education,27
2024,Emerging Technologies,8
2024,Employment & Workplace,2
2024,Engineering,2
2024,Evaluation & Remediation,5
2024,Gaming & Interactive Entertainment,2
2024,Healthcare & Rehabilitation,1
2024,Independent Living,6
2024,Information & Communications Technology (ICT),8
2024,"Law, Compliance, and Policy",5
2024,Leadership & Strategy,16
2024,Leisure & Travel,1
2024,Mobile Technology,11
2024,Mobility,6
2024,Product Demonstration,1
2024,Research,6
2024,School-to-Work Transitioning,2
2024,"Virtual Reality (VR), Augmented Reality (AR), & Cross/Mixed Reality (XR)",2
2024,Web,12
